Library modified: CS-Default.xml.
  --> [Modified] Countermeasure 'Hydras-AWS-Monitoring-4.2'. 
  --> [Modified] Countermeasure 'Hydras-AWS-Monitoring-4.8'. 
  --> [Modified] Countermeasure 'Hydras-AWS-Monitoring-4.10'. 
  --> [Modified] Threat 'UNAUTHORIZED-CONECTIONS-AWS'. 
  --> [Modified] Weakness 'AWS-Network-5.1'. 
  --> [Modified] Countermeasure 'Hydras-AWS-Network-5.8'. 
  --> [Modified] Countermeasure 'Hydras-AWS-EC2-6.1'. 
  --> [Modified] Countermeasure 'Hydras-AWS-Network-5.2'. 
  --> [Modified] Countermeasure 'Hydras-AWS-Network-5.1'. 
  --> [Modified] Threat 'AWS-LOSS-CONTROL-ENV'. 
  --> [Modified] Threat 'ACCESS-TO-DATA-AWS'. 
  --> [New] Threat 'NON-UPDATED-SYSTEMS-AWS'. 
  --> [New] Threat 'UNAUTHORIZED-CONECTIONS-AWS'. 
  --> [New] Threat 'UNAUTHORIZED-ACCESS-SECURITY-SYSTEMS-AWS'. 
  --> [New] Threat 'DATA-DELETED-EASY-AWS'. 
  --> [Deleted] Threat 'UNAUTHORIZED-CONNECTION'. 
  --> [Deleted] Threat 'UNAUTHORIZED-CONNECTIONS-RESOURCES'. 
  --> [Deleted] Threat 'UNAUTHORIZED-ACCESS-NETWORK'. 
  --> [New] Weakness 'database-publically-accesible'. 
  --> [New] Weakness 'no-notification-incident'. 
  --> [New] Weakness 'no-access-control-onrds'. 
  --> [New] Weakness 'NOT_BACKUP_POLICIES'. 
  --> [New] Weakness 'AWS-EC2-6.2'. 
  --> [Deleted] Weakness 'AWS-Network-5.1'. 
  --> [Deleted] Weakness 'AWS-NET-04'. 
  --> [Deleted] Weakness 'AWS-NET-01'. 
  --> [Deleted] Weakness 'AWS-NET-03'. 
  --> [Deleted] Weakness 'AWS-NET-02'. 
  --> [Modified] Countermeasure 'Hydras-AWS-RDS-01'. 
  --> [New] Countermeasure 'aws-tier-6.34'. 
  --> [New] Countermeasure 'aws-tier-6.30'. 
  --> [New] Countermeasure 'aws-tier-3.6'. 
  --> [New] Countermeasure 'aws-tier-1.4'. 
  --> [New] Countermeasure 'aws-tier-4.4'. 
  --> [New] Countermeasure 'aws-tier-4.3'. 
  --> [New] Countermeasure 'aws-tier-3.5'. 
  --> [New] Countermeasure 'aws-tier-3.7'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-S3-7.4'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.6'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.2'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.1'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.7'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.5'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.3'. 
  --> [Deleted] Countermeasure 'Hydras-AWS-Network-5.4'. 
  --> [Modified] Threat 'DATA-DELETED-EASY-AWS'. 
  --> [Modified] Threat 'ACCESS-TO-DATA-AWS'. 
  --> [Modified] Weakness 'AWS-S3-7.3'. 
  --> [Modified] Countermeasure 'Hydras-AWS-S3-7.1'. 
  --> [Modified] Countermeasure 'Hydras-AWS-S3-7.4'. 
  --> [Modified] Threat 'AWS-LOST-CONTROL-NOTIFICATION'. 
  --> [Modified] Threat 'ACCESS-TO-DATA-AWS'. 
  --> [Modified] Weakness 'AWS-S3-7.3'. 
  --> [New] Weakness 'log-actions-sending-out-notifications'. 
  --> [New] Weakness 'no-access-control-publish-sns-topics'. 
  --> [New] Weakness 'no-access-control-subscribe-sns-topics'. 
  --> [Modified] Countermeasure 'Hydras-AWS-SNS-01'. 
  --> [New] Countermeasure 'aws-tier-4.1'. 
  --> [New] Countermeasure 'aws-tier-4.2'. 
  --> [New] Countermeasure 'aws-tier-2.9'. 
  --> [New] Countermeasure 'aws-tier-2.10'. 
  --> [Modified] Component definition 'amazon-web-services-environment'. 
  --> [New] Component definition 'ec2'. 
  --> [New] Component definition 's3'. 
  --> [New] Component definition 'rds'. 
  --> [New] Component definition 'load-balancer'. 
  --> [New] Component definition 'sns'. 
  --> [New] Category component 'amazon-web-services'. 
  --> [Deleted] Category component 'environment'. 
  --> [Modified] Supported standard 'CIS AWS Standard'. 
  --> [New] Supported standard 'cis-amazon-web-services-three-tier-web-architecture-benchmark'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when AWS EC2 is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when AWS ELB is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when AWS RDS is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when AWS S3 is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when AWS SNS is selected'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-EC2'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-ELB'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-IAM'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-LOG'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-MON'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-NET'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-RDS'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-S3'. 
  --> [Modified] Risk pattern 'HYDRAS-AWS-SNS'. 
  --> [Deleted] Risk pattern 'HYDRAS-AWS-GOV'. 
Library modified: Microsoft-Azure.xml.
  --> [Modified] Threat 'AZURE-LOST-ACCESS-ROOT'. 
  --> [New] Weakness 'LOST-SECURITY-ALERTS'. 
  --> [Modified] Countermeasure 'AZ-A02'. 
  --> [Modified] Countermeasure 'AZ-A03'. 
  --> [Modified] Countermeasure 'AZ-A04'. 
  --> [New] Countermeasure 'AZ-A01'. 
  --> [Modified] Countermeasure 'AZ-L05'. 
  --> [Modified] Countermeasure 'AZ-Q02'. 
  --> [Modified] Component definition 'microsoft-azure-environment'. 
  --> [New] Component definition 'azure-virtual-machines'. 
  --> [New] Component definition 'azure-storage'. 
  --> [New] Component definition 'azure-sql'. 
  --> [New] Category component 'microsoft-azure'. 
  --> [Deleted] Category component 'environment'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when MS Azure SQL is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when MS Azure Storage is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when MS Azure Virtual Machines is selected'. 
  --> [Deleted] Risk pattern 'AZURE-GOV'. 
Library modified: Google-Cloud-Platform.xml.
  --> [Modified] Threat 'GOOGLE-LOST-ACCESS-ROOT'. 
  --> [New] Weakness 'LOST-SECURITY-ALERTS'. 
  --> [Modified] Countermeasure 'GOOGLE-IAM05'. 
  --> [Modified] Countermeasure 'GOOGLE-IAM06'. 
  --> [New] Countermeasure 'GOOGLE-GOV01'. 
  --> [Modified] Component definition 'google-cloud-platform-environment'. 
  --> [New] Component definition 'google-virtual-machines'. 
  --> [New] Component definition 'google-sql'. 
  --> [New] Component definition 'google-storage'. 
  --> [New] Component definition 'google-kubernetes'. 
  --> [New] Category component 'google-cloud-platform'. 
  --> [Deleted] Category component 'environment'. 
  --> [New] Rule 'Risk Pattern: Google Cloud - Environment'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when Google Cloud Environment is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when Google Kubernetes is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when Google SQL is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when Google Storage is selected'. 
  --> [New] Rule 'Set Answer: Set Public Cloud when Google Virtual Machines is selected'. 
  --> [Deleted] Risk pattern 'GOOGLE-CLOUD-GOV'. 
